id	enrichment	perc_enrichment_study	perc_enrichment_pop	fold_enrichment_study2pop	study_count	study_n	pop_count	pop_n	p_uncorrected	p_bonferroni	p_holm	p_sidak	ANs_study	ANs_pop
Lipoyl	e	0.4	0.2	2.00	4	1125	2	1125	0.687	210	142	204	P12695,P16451,P19262,P39726	P12695,P16451,P19262,P39726
Cadmium resistance	e	0.2	0.1	2.00	2	1125	1	1125	1	305	165	297	P39109,Q02159	P19880,P20107,P24813,P39109,Q02159
Pantothenate biosynthesis	e	0.2	0.1	2.00	2	1125	1	1125	1	305	165	297	P38122,P38787	P38122,P38787,P40459,P47771,P54114
Plasmid	e	0.2	0.1	2.00	2	1125	1	1125	1	305	165	297	P03871,P03872	P03871,P03872,Q06891
Phosphopantetheine	e	0.2	0.1	2.00	2	1125	1	1125	1	305	165	297	P19097,P32463	P19097,P32463
Hypusine biosynthesis	e	0.2	0.1	2.00	2	1125	1	1125	1	305	165	297	P38791,P47120	P38791,P47120
Plasmid partition	e	0.2	0.1	2.00	2	1125	1	1125	1	305	165	297	P03871,P03872	P03871,P03872,Q06891
Glycerol metabolism	e	0.2	0.1	2.00	2	1125	1	1125	1	305	165	297	P32190,P54838	P14065,P23900,P32190,P54838,Q08650
Isoleucine biosynthesis	e	0.2	0.1	2.00	2	1125	1	1125	1	305	165	297	P00927,P31116	P00927,P31116
Ubiquinone	e	0.2	0.1	2.00	2	1125	1	1125	1	305	165	297	P32340,Q08822	P32340,P40215,Q08822
Copper transport	e	0.2	0.1	2.00	2	1125	1	1125	1	305	165	297	P38636,P49573	P32791,P38636,P38995,P49573,Q12333
DNA repair	e	2.8	1.5	1.82	31	1125	17	1125	0.0568	17.3	15.8	16.9	P04911,P06778,P11632,P11633,P12887,P14164,P15873,P22134,P22936,P26793,P29295,P31378,P32558,P32776,P32787,P35817,P36010,P38086,P38850,P38859,P38920,P40154,P40562,P43572,P43583,P80428,Q02455,Q03940,Q04002,Q04673,Q06337	P04819,P04911,P05066,P06104,P06700,P06777,P06778,P06779,P06838,P06839,P07271,P07276,P10862,P11632,P11633,P12753,P12887,P12954,P14164,P14242,P14736,P15873,P20433,P22134,P22936,P25336,P25454,P25846,P25847,P26793,P27999,P28519,P29295,P31378,P31380,P32523,P32558,P32628,P32776,P32787,P32807,P32829,P32849,P33301,P35732,P35817,P36010,P38086,P38111,P38207,P38319,P38348,P38766,P38850,P38859,P38920,P38927,P39735,P39995,P40154,P40469,P40562,P43124,P43572,P43583,P47050,P48581,P53115,P53201,P53397,P53840,P53930,P80428,Q00578,Q02455,Q02574,Q02939,Q03796,Q03834,Q03940,Q04002,Q04049,Q04377,Q04437,Q04636,Q04659,Q04673,Q05541,Q06211,Q06337,Q07442,Q07913,Q08204,Q08273,Q12004,Q12098,Q12341,Q12432,Q12464,Q12749,Q3E7C1,Q3E829
4Fe-4S	e	0.8	0.4	1.80	9	1125	5	1125	0.422	129	104	126	P07264,P13382,P15436,P19414,P21951,P38859,P39522,P39533,Q08822	P06839,P07264,P13382,P15436,P19414,P20457,P21801,P21951,P23503,P32451,P32875,P38859,P39522,P39533,P40558,P47169,P52920,Q08822,Q08960
rRNA processing	e	7.6	4.3	1.79	86	1125	48	1125	0.000919	0.28	0.272	0.273	P05755,P0CX37,P15646,P20447,P20448,P22147,P24783,P25040,P25443,P25582,P25627,P27476,P32495,P33322,P33750,P34247,P35194,P36009,P36080,P37838,P38112,P38336,P38801,P38803,P38804,P38805,P38882,P38883,P38961,P40007,P40055,P40078,P40493,P41812,P42846,P47047,P47077,P47083,P48164,P48234,P48240,P53063,P53136,P53254,P53261,P53276,P53725,P53743,P53833,P53905,P53927,P53941,Q00416,Q01560,Q02792,Q03195,Q03280,Q03532,Q04031,Q04217,Q04225,Q04500,Q04660,Q05022,Q06106,Q06218,Q06287,Q06344,Q06406,Q06506,Q06511,Q06679,Q08162,Q08208,Q08237,Q08647,Q12080,Q12136,Q12149,Q12220,Q12389,Q12499,Q3E705,Q3E754,Q6Q547,Q99207	O13516,P05755,P06367,P0C0V8,P0CX37,P15646,P20447,P20448,P22147,P24783,P25040,P25270,P25359,P25368,P25443,P25582,P25586,P25627,P25635,P25808,P26786,P27476,P28005,P28007,P32495,P32899,P32905,P33322,P33750,P34241,P34247,P35178,P35194,P36009,P36080,P36120,P36144,P37838,P38112,P38203,P38208,P38291,P38336,P38712,P38719,P38786,P38792,P38801,P38803,P38804,P38805,P38882,P38883,P38961,P39516,P39990,P40007,P40055,P40070,P40078,P40079,P40089,P40362,P40493,P40498,P40991,P41812,P41819,P42846,P42945,P45818,P46654,P46948,P47047,P47077,P47083,P47093,P47108,P48164,P48234,P48240,P53063,P53136,P53188,P53218,P53251,P53254,P53256,P53261,P53276,P53331,P53335,P53725,P53734,P53743,P53833,P53859,P53877,P53905,P53919,P53927,P53941,P53972,P57743,Q00416,Q01560,Q02354,Q02792,Q02931,Q03124,Q03195,Q03280,Q03532,Q04031,Q04177,Q04217,Q04225,Q04305,Q04500,Q04660,Q05022,Q05636,Q05946,Q06078,Q06106,Q06218,Q06287,Q06344,Q06406,Q06506,Q06511,Q06512,Q06672,Q06679,Q07623,Q07845,Q08162,Q08208,Q08237,Q08285,Q08492,Q08647,Q12024,Q12035,Q12055,Q12080,Q12090,Q12094,Q12099,Q12136,Q12149,Q12220,Q12277,Q12291,Q12339,Q12389,Q12464,Q12481,Q12499,Q12530,Q3E705,Q3E754,Q6Q547,Q99207
DNA-binding	e	7.5	4.2	1.79	84	1125	47	1125	0.00112	0.341	0.33	0.332	O14467,P02293,P02309,P04911,P06786,P06843,P07248,P09959,P0C2I9,P11632,P11633,P12383,P13382,P13393,P13574,P14164,P15436,P15873,P17106,P17255,P17890,P20134,P21538,P21951,P21957,P22035,P25302,P25357,P25502,P25555,P27476,P32432,P32445,P32504,P32527,P32591,P32657,P32787,P33322,P33417,P34161,P34219,P36036,P36775,P38071,P38086,P38144,P38630,P38845,P38859,P39001,P39015,P39521,P39678,P39956,P40151,P40154,P40161,P40348,P40466,P40489,P40535,P40562,P41696,P41813,P41895,P41896,P43609,P53438,P53551,P61830,P89105,Q01080,Q02486,Q03434,Q03833,Q03973,Q04013,Q04116,Q04545,Q05543,Q05958,Q06639,Q12692	O13329,O13535,O14467,P02293,P02309,P04050,P04387,P04786,P04911,P05066,P06701,P06777,P06786,P06838,P06839,P06843,P07248,P07270,P07271,P07273,P08153,P08638,P09547,P09959,P0C2I6,P0C2I7,P0C2I9,P0C2J0,P0C2J1,P0CX63,P10862,P10961,P11632,P11633,P11938,P11978,P12383,P12954,P13382,P13393,P13434,P13483,P13574,P14064,P14164,P14736,P14908,P15315,P15436,P15801,P15873,P17106,P17255,P17890,P18494,P19880,P20134,P20434,P20436,P20457,P21192,P21538,P21657,P21951,P21957,P22035,P22336,P24279,P24482,P24813,P25042,P25293,P25294,P25302,P25336,P25357,P25364,P25502,P25555,P25846,P25847,P26754,P26798,P27476,P27705,P28519,P29469,P29496,P30665,P31380,P32325,P32333,P32338,P32367,P32432,P32445,P32504,P32527,P32566,P32579,P32591,P32607,P32644,P32657,P32787,P32788,P32797,P32805,P32807,P32849,P32896,P33322,P33339,P33400,P33417,P33748,P33749,P34111,P34161,P34219,P34228,P34233,P35207,P35732,P36036,P36145,P36775,P38071,P38086,P38132,P38144,P38165,P38251,P38304,P38629,P38630,P38749,P38766,P38781,P38826,P38845,P38859,P38877,P38889,P39001,P39015,P39113,P39521,P39529,P39678,P39720,P39933,P39956,P40059,P40151,P40154,P40161,P40339,P40348,P40466,P40467,P40489,P40522,P40535,P40562,P40962,P40971,P41696,P41813,P41895,P41896,P42944,P43609,P43610,P46676,P46974,P47098,P47100,P47112,P48581,P48743,P49956,P52286,P53038,P53091,P53115,P53438,P53551,P53968,P54000,P54790,P54791,P61830,P89105,Q00578,Q01080,Q01532,Q02100,Q02457,Q02486,Q02516,Q02574,Q02685,Q03125,Q03434,Q03435,Q03631,Q03654,Q03833,Q03834,Q03973,Q04013,Q04049,Q04089,Q04116,Q04214,Q04437,Q04545,Q05543,Q05854,Q05958,Q06339,Q06639,Q08773,Q08904,Q12112,Q12132,Q12151,Q12180,Q12224,Q12244,Q12273,Q12308,Q12337,Q12414,Q12415,Q12457,Q12490,Q12510,Q12692,Q12753,Q3E829,Q99337
