id	enrichment	perc_enrichment_study	perc_enrichment_pop	fold_enrichment_study2pop	study_count	study_n	pop_count	pop_n	p_uncorrected	p_bonferroni	p_holm	p_sidak	ANs_study	ANs_pop
Chromosome partition	p	0.2	0.2	1.00	2	1125	2	1125	1	305	165	297	P53168,P53267	P32325,P35734,P36131,P36162,P38829,P40090,P40541,P53168,P53267,P69850,P69851,Q03954,Q08581,Q12158,Q12248
Myristate	p	0.4	0.4	1.00	4	1125	4	1125	1	305	165	297	P11076,P38116,P39968,P40327	P08539,P10823,P11076,P19146,P22219,P25296,P26570,P32578,P33329,P34164,P38116,P39968,P40327,P40994,P53139,Q02205,Q04272,Q06389
Gluconate utilization	p	0.1	0.1	1.00	1	1125	1	1125	1	305	165	297	P38720	P38720,P53319,Q03786
Pentose shunt	p	0.3	0.3	1.00	3	1125	3	1125	1	305	165	297	P00942,P15019,P38720	P00942,P15019,P38720,P53228,P53319
Kinetochore	p	0.4	0.4	1.00	4	1125	4	1125	1	305	165	297	P38198,P53148,P53168,P53267	P33895,P35734,P36131,P36162,P38198,P38265,P38313,P39731,P40014,P40460,P40568,P47149,P47167,P52286,P53148,P53168,P53267,P53298,P69850,P69851,Q02732,Q03954,Q04431,Q04477,Q06675,Q08581,Q12143,Q12248,Q12262,Q12493
Fatty acid metabolism	p	0.7	0.7	1.00	8	1125	8	1125	1	305	165	297	P07149,P19097,P21147,P30624,P32463,P38071,P39002,Q00955	P07149,P13711,P19097,P21147,P25358,P27796,P30624,P32463,P32796,P32874,P38071,P38286,P39002,P39518,P39525,P39540,P40017,P40319,P47912,P80235,Q00955,Q02207,Q03529,Q05871,Q12283,Q12354,Q12442,Q99190
Hypusine	p	0.1	0.1	1.00	1	1125	1	1125	1	305	165	297	P23301	P19211,P23301
Isoprene biosynthesis	p	0.2	0.2	1.00	2	1125	2	1125	1	305	165	297	P08524,P29704	P08524,P15496,P18900,P24521,P29704,P32378,Q12051
Actin capping	p	0.1	0.1	1.00	1	1125	1	1125	1	305	165	297	P28495	P13517,P28495
Proteasome	p	1.6	1.6	1.00	18	1125	18	1125	1	305	165	297	P21243,P22141,P25451,P32379,P32496,P32565,P33297,P33298,P33299,P38624,P38779,P40327,P43588,P53549,Q01939,Q06103,Q12250,Q12377	O13563,O94742,P21242,P21243,P22141,P23638,P23639,P23724,P25043,P25451,P30656,P30657,P32379,P32496,P32565,P33297,P33298,P33299,P38624,P38737,P38764,P38779,P38886,P40016,P40302,P40303,P40327,P43588,P53196,P53549,Q01939,Q04062,Q06103,Q08723,Q12250,Q12377
Biotin	p	0.2	0.2	1.00	2	1125	2	1125	1	305	165	297	P32327,Q00955	P11154,P32327,P32528,P32874,P53241,Q00955
Hydrogen peroxide	p	0.1	0.1	1.00	1	1125	1	1125	1	305	165	297	P06115	P00431,P06115,P15202
Proline biosynthesis	p	0.2	0.2	1.00	2	1125	2	1125	1	305	165	297	P32264,P54885	P32263,P32264,P38690,P54885
Fatty acid biosynthesis	p	0.5	0.5	1.00	6	1125	6	1125	1	305	165	297	P07149,P19097,P21147,P32463,P38071,Q00955	P07149,P19097,P21147,P25358,P32463,P32874,P38071,P38286,P39525,P39540,P40319,Q00955,Q03529,Q12283,Q99190
Cycloheximide resistance	p	0.2	0.2	1.00	2	1125	2	1125	1	305	165	297	P02406,P33302	P02406,P0CX27,P33302
Lectin	p	0.1	0.1	1.00	1	1125	1	1125	1	305	165	297	P43555	P43555,Q12396,Q99220
Porphyrin biosynthesis	p	0.2	0.2	1.00	2	1125	2	1125	1	305	165	297	P16622,P40012	P05373,P06174,P11353,P15807,P16622,P28789,P32347,P36150,P40012
Glucose metabolism	p	0.2	0.2	1.00	2	1125	2	1125	1	305	165	297	P11412,P37012	P11412,P24814,P33401,P37012,P40530,P53170,Q03262
WD repeat	p	2.0	2.0	1.00	22	1125	22	1125	1	305	165	297	P13712,P16649,P20053,P25365,P33750,P38011,P38129,P40055,P41811,P48234,P53235,P53622,Q01454,Q03774,Q04225,Q04660,Q06214,Q06440,Q06506,Q06679,Q12220,Q12363	P06103,P07834,P11655,P13712,P16649,P18851,P20053,P20484,P21304,P22219,P25356,P25365,P25382,P25569,P25635,P26449,P32479,P32480,P32523,P33750,P35184,P36037,P36104,P36130,P38011,P38129,P38149,P38163,P38164,P38262,P38328,P38332,P38873,P38915,P38959,P38968,P39014,P39108,P39702,P39706,P39946,P39984,P40055,P40066,P40077,P40217,P40362,P40960,P40968,P41318,P41811,P42841,P42935,P43601,P46680,P47025,P47104,P48234,P50079,P53010,P53011,P53196,P53235,P53622,P53851,P53877,P53962,Q00362,Q01454,Q02793,Q02887,Q02931,Q03010,Q03177,Q03774,Q03897,Q04177,Q04225,Q04305,Q04491,Q04660,Q05583,Q05946,Q06078,Q06214,Q06440,Q06506,Q06679,Q08281,Q08924,Q12024,Q12038,Q12206,Q12220,Q12363,Q12417,Q12510,Q12523,Q99247
Elongation factor	p	0.7	0.7	1.00	8	1125	8	1125	1	305	165	297	P02994,P16521,P23301,P25039,P29547,P32324,P32471,P36008	P02992,P02994,P16521,P19211,P23301,P25039,P29547,P32324,P32471,P32769,P36008,P53978
Nucleotide biosynthesis	p	0.3	0.3	1.00	3	1125	3	1125	1	305	165	297	P06785,P38689,Q12265	P00572,P06773,P06785,P32895,P38063,P38620,P38689,Q12265
Metalloprotease	p	0.8	0.8	1.00	9	1125	9	1125	1	305	165	297	P10507,P11914,P25375,P32454,P32898,P37302,P37898,P39925,P43616	P10507,P11914,P14904,P25375,P32454,P32795,P32898,P35999,P36163,P37302,P37898,P38149,P38244,P38821,P38836,P39925,P40051,P40341,P40462,P40483,P40851,P43616,P47154,P53722,Q03862,Q06010,Q07825,Q08225,Q08693,Q10740,Q12468
cAMP-binding	p	0.1	0.1	1.00	1	1125	1	1125	1	305	165	297	P07278	P07278
Sodium	p	0.1	0.1	1.00	1	1125	1	1125	1	305	165	297	P13587	P13587,P42839,Q01896,Q04121,Q99271
Glyoxylate bypass	p	0.2	0.2	1.00	2	1125	2	1125	1	305	165	297	P21954,P32419	P21954,P28240,P30952,P32419,P41939,P53982
Intron homing	p	0.1	0.1	1.00	1	1125	1	1125	1	305	165	297	P17255	P17255
Hydroxylation	p	0.1	0.1	1.00	1	1125	1	1125	1	305	165	297	P0CX29	P0CX29
Phenylalanine catabolism	p	0.1	0.1	1.00	1	1125	1	1125	1	305	165	297	P06169	P06169,P16467,P26263,Q06408
LIM domain	p	0.1	0.1	1.00	1	1125	1	1125	1	305	165	297	Q05580	P35688,P36166,P39083,Q05580,Q06407
Arsenical resistance	p	0.1	0.1	1.00	1	1125	1	1125	1	305	165	297	Q12154	Q12154
cAMP	p	0.2	0.2	1.00	2	1125	2	1125	1	305	165	297	P07278,P13712	P05986,P06244,P06245,P06776,P07278,P11792,P13712,P22434
Transposition	p	0.3	0.3	1.00	3	1125	3	1125	1	305	165	297	P0C2I9,P40161,Q03434	O13535,P0C2I6,P0C2I7,P0C2I9,P0C2J0,P0C2J1,P0CX63,P40161,P47098,P47100,Q03434,Q04214,Q12112,Q12273,Q12337,Q12414,Q12490,Q99337
Monooxygenase	p	0.2	0.2	1.00	2	1125	2	1125	1	305	165	297	P47120,P53318	P10614,P38169,P41735,P47120,P53318
CF(1)	p	0.3	0.3	1.00	3	1125	3	1125	1	305	165	297	P00830,P07251,P38077	P00830,P07251,P21306,P38077,Q12165
Lipid transport	p	0.4	0.4	1.00	4	1125	4	1125	1	305	165	297	P47008,P53860,Q02201,Q12408	P25341,P32660,P35845,P38225,P38713,P38755,P47008,P53739,P53844,P53860,Q02201,Q06263,Q06705,Q12200,Q12408,Q12451,Q12675,Q99288
Sodium transport	p	0.1	0.1	1.00	1	1125	1	1125	1	305	165	297	P13587	P13587,P42839,Q01896,Q04121,Q99271
Dipeptidase	p	0.1	0.1	1.00	1	1125	1	1125	1	305	165	297	P43616	P38149,P43616
Protein splicing	p	0.1	0.1	1.00	1	1125	1	1125	1	305	165	297	P17255	P17255
Translation regulation	p	1.1	1.1	1.00	12	1125	12	1125	1	305	165	297	P04147,P07260,P15424,P32911,P33309,P33892,P38199,P39517,P39935,P53235,Q08421,Q08925	P04147,P07260,P07390,P09032,P10355,P10834,P12754,P12962,P14741,P15424,P22136,P25637,P25644,P31374,P32493,P32501,P32502,P32579,P32769,P32911,P33309,P33892,P35207,P36041,P38199,P38260,P39517,P39935,P39936,P50273,P53235,P53327,Q04373,Q04638,Q08217,Q08421,Q08491,Q08925
Coated pit	p	0.2	0.2	1.00	2	1125	2	1125	1	305	165	297	P17891,P22137	P17891,P22137,P27351,P35181,P36000,P38065,P38700,Q00381,Q00776,Q99186
DNA recombination	p	0.4	0.4	1.00	5	1125	5	1125	1	305	165	297	P06778,P0C2I9,P38086,Q03434,Q05812	O13329,O13535,P04819,P06778,P07271,P0C2I6,P0C2I7,P0C2I9,P0C2J0,P0C2J1,P0CX63,P25454,P32807,P38086,P43124,P47098,P47100,Q03434,Q04214,Q04437,Q05541,Q05812,Q07913,Q08204,Q08818,Q12098,Q12112,Q12273,Q12337,Q12414,Q12490,Q12749,Q99337
